Datacenter: datacenter1
=======================
Status=Up/Down
|/ State=Normal/Leaving/Joining/Moving
--  Address        Load       Tokens  Owns (effective)  Host ID                               Rack 
UN  172.31.31.211  69.06 KiB  16      17.6%             33e19d1a-b800-4f5f-aec5-52ec799e5c09  rack1
UN  172.31.24.17   74.05 KiB  16      17.2%             ed005150-7901-496c-8137-d00fc5559bfd  rack1
UN  172.31.16.129  74.04 KiB  16      16.8%             334e19af-e3bd-497e-acdf-2ce54f1b5b32  rack1
UN  172.31.24.227  88.57 KiB  16      16.2%             0b796b51-678c-4af6-8ce6-2f886e142f32  rack1
UN  172.31.29.141  69.07 KiB  16      17.9%             1ae49290-b1ed-4906-a91a-e60191020bb8  rack1
UN  172.31.28.154  69.08 KiB  16      16.3%             675db443-cd1c-4c54-9699-058a891407e8  rack1
UN  172.31.27.164  74.11 KiB  16      15.9%             cfbbfa0b-50b6-4876-9e04-aa4f3b250f91  rack1
UN  172.31.21.61   69.08 KiB  16      16.3%             5f7f9132-55ca-4449-8f59-dbb10f047716  rack1
UN  172.31.18.193  69.07 KiB  16      17.0%             80e55629-3899-4bc8-b0e8-cc9830b74022  rack1
UN  172.31.16.104  74.04 KiB  16      15.2%             32f4c369-e6a2-4232-ad7b-2d550362931d  rack1
UN  172.31.21.39   69.08 KiB  16      17.8%             c2367ad2-1713-4859-85f8-00fd75e9c409  rack1
UN  172.31.26.204  69.07 KiB  16      15.9%             10cd3767-65a3-4dac-b87b-8b9521b89849  rack1

